msa_code,msa_title,year,total_strategic_employment,msa_total_employment,ses_raw,sc_raw,fragility_raw,ses_pct,sc_pct,fragility_pct,sri
C4586,"Torrington, CT MicroSA",2024,2362.0,75369.0,0.031339144741206595,0.010747124149186004,0.03784708760337275,78.4796573875803,60.49250535331906,0.0,46.324054246966455
C3458,"Mount Vernon-Anacortes, WA MSA",2024,2998.0,107769.0,0.02781876049698893,0.011352986480342213,0.12768779639608013,75.16059957173448,63.16916488222698,0.10706638115631692,46.145610278372594
C2362,"Gainesville, TX MicroSA",2024,1339.0,33070.0,0.040489869972785,0.017372240701542183,0.13546549524513687,84.36830835117773,78.58672376873662,0.21413276231263384,54.38972162740899
C4310,"Sheboygan, WI MSA",2024,2047.0,122356.0,0.01672987021478309,0.01507894994932819,0.13753609460418328,60.49250535331906,73.34047109207708,0.32119914346895073,44.71805852962169
C4942,"Yakima, WA MSA",2024,2567.0,233095.0,0.011012677234603916,0.007078658915892662,0.13931282011537324,45.82441113490364,43.25481798715203,0.4282655246252677,29.835831548893648
C3954,"Racine-Mount Pleasant, WI MSA",2024,9253.0,152684.0,0.06060228969636635,0.025045191375651674,0.1424205472971827,92.3982869379015,87.47323340471092,0.5353319057815845,60.13561741613134
C2394,"Gillette, WY MicroSA",2024,2111.0,49672.0,0.042498792076018685,0.03927766145917217,0.14598211446819212,85.86723768736617,93.25481798715204,0.6423982869379015,59.9214846538187
C1054,"Albany, OR MSA",2024,471.0,97205.0,0.004845429761843527,0.002386708502649041,0.14615502721974305,23.98286937901499,15.845824411134904,0.7494646680942184,13.526052819414703
C4858,"Whitewater-Elkhorn, WI MicroSA",2024,813.0,84328.0,0.00964092590835784,0.0029290389906081018,0.1474547960379708,41.648822269807276,19.914346895074946,0.8565310492505354,20.806566738044253
C4930,"Wooster, OH MicroSA",2024,5989.0,97030.0,0.06172317839843348,0.021349067298773575,0.1476219832309273,92.61241970021413,84.47537473233405,0.9635974304068522,59.35046395431834
C2609,"Holland, MI MicroSA",2024,4182.0,82720.0,0.050556092843326884,0.03833413926499033,0.14763459823384736,89.40042826552462,92.93361884368309,1.070663811563169,61.134903640256965
C1638,"Celina, OH MicroSA",2024,1605.0,41162.0,0.038992274427870365,0.018220688984986154,0.14772817633299645,83.29764453961455,79.22912205567452,1.177730192719486,54.56816559600285
C2114,"Elkhart-Goshen, IN MSA",2024,136060.0,254199.0,0.5352499419745947,0.2566414502024005,0.147824943854893,100.0,100.0,1.284796573875803,67.09493219129193
C1318,"Beaver Dam, WI MicroSA",2024,76.0,68346.0,0.0011119889971615018,0.0011119889971615018,0.148197452541465,8.137044967880087,8.886509635974305,1.3918629550321198,6.138472519628838
C4478,"Sturgis, MI MicroSA",2024,5546.0,42196.0,0.13143425917148546,0.06571712958574273,0.14833728323349676,98.39400428265525,97.32334047109208,1.4989293361884368,65.7387580299786
C4802,"Watertown-Fort Atkinson, WI MicroSA",2024,2002.0,67230.0,0.0297783727502603,0.017804551539491297,0.1496846511434414,77.40899357601712,78.90792291220556,1.6059957173447537,52.64097073518914
C1214,"Auburn, IN MicroSA",2024,1827.0,44402.0,0.04114679518940588,0.01782577361380118,0.15046696572128476,84.79657387580299,79.01498929336188,1.7130620985010707,55.17487508922198
C3622,"Odessa, TX MSA",2024,7670.0,159525.0,0.04808023820717756,0.04283341169095753,0.1506559496394827,88.43683083511777,94.3254817987152,1.8201284796573876,61.527480371163456
C1610,"Carlsbad-Artesia, NM MicroSA",2024,4375.0,64394.0,0.06794111252601175,0.06794111252601175,0.15088189019040035,93.36188436830835,97.85867237687366,1.9271948608137044,64.38258386866524
C3534,"New Iberia, LA MicroSA",2024,703.0,48148.0,0.01460081415635125,0.006199634460413724,0.1512125154453857,55.88865096359743,38.75802997858672,2.0342612419700217,32.22698072805139
C3182,"Manitowoc, WI MicroSA",2024,1276.0,66887.0,0.01907695067800918,0.006286722382525752,0.15265709581980066,64.66809421841542,39.61456102783726,2.141327623126338,35.47466095645968
C2458,"Green Bay, WI MSA",2024,3430.0,347403.0,0.009873259586129078,0.003857191791665587,0.15293233304766746,42.29122055674518,26.124197002141326,2.2483940042826553,23.554603854389722
C4770,"Warsaw, IN MicroSA",2024,1764.0,72366.0,0.024376088218224026,0.009396677997954841,0.15295719167320515,71.09207708779444,55.24625267665952,2.355460385438972,42.89793004996431
C3850,"Plymouth, IN MicroSA",2024,476.0,39099.0,0.012174224404716234,0.004693214660221489,0.15341030184268425,48.92933618843683,30.83511777301927,2.462526766595289,27.408993576017128
